,decade,title,author,act,normalizedGenre,numOfSpeakersMale,numOfSpeakersFemale,numOfActs,meanNEUTRAL,meanPOSITIVE,meanNEGATIVE,meanSKIP,meanSPEECH,countNEUTRAL,countPOSITIVE,countNEGATIVE,countSKIP,countSPEECH,avg_text_len,totalCOUNT,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
23,1750,Приданое обманом,Сумароков,0,Comedy,4,1,0,0.869968416178284,0.887990658933466,0.83807670387129,0.66084525840623,0.756747990846634,207,11,48,42,2,62.4258064516129,310,66.7741935483871,3.54838709677419,15.4838709677419,13.5483870967742,0.645161290322581
34,1750,Ссора у мужа с женой,Сумароков,0,Comedy,4,4,0,0.82518954845992,0.804908998310566,0.832871869206429,0.635499381522338,,176,8,32,60,0,84.0289855072464,276,63.768115942029,2.89855072463768,11.5942028985507,21.7391304347826,0
40,1750,Тресотиниус,Сумароков,0,Comedy,10,1,0,0.788435511437117,0.842865439978513,0.738260835409164,0.640000875249054,0.598775416612625,102,11,18,33,2,103.843373493976,166,61.4457831325301,6.62650602409639,10.8433734939759,19.8795180722892,1.20481927710843
57,1760,Опекун,Сумароков,0,Comedy,5,3,0,0.825421595696322,0.762664034962654,0.771336719757173,0.627702996586308,,194,14,41,33,0,137.039007092199,282,68.7943262411348,4.9645390070922,14.5390070921986,11.7021276595745,0
68,1770,Вздорщица,Сумароков,0,Comedy,4,4,0,0.862583998574151,0.853494332595305,0.849260332909497,0.663888358324766,,225,11,77,80,0,63.6564885496183,393,57.2519083969466,2.79898218829517,19.5928753180662,20.3562340966921,0
102,1780,Пустая ссора,Сумароков,0,Comedy,4,3,0,0.811814728778662,0.785533916950226,0.804673759266734,0.648719929903746,,97,5,32,40,0,77.3390804597701,174,55.7471264367816,2.8735632183908,18.3908045977012,22.9885057471264,0
120,1780,Сговор Кутейкина,Плавильщиков,0,Comedy,6,3,0,0.811274029662676,0.824392139911652,0.719022280255029,0.684091973304749,0.854437902569771,107,10,43,70,4,90.1068376068376,234,45.7264957264957,4.27350427350427,18.3760683760684,29.9145299145299,1.70940170940171
186,1800,Пирог,Крылов,1,Comedy,6,3,1,0.835068516912516,0.844168541332086,0.822639566144826,0.643763890554165,0.810583617006029,171,48,81,87,7,75.1015228426396,394,43.4010152284264,12.1827411167513,20.5583756345178,22.0812182741117,1.77664974619289
192,1800,Урок дочкам,Крылов,0,Comedy,4,5,0,0.795980164424969,0.769775619340497,0.789828576824882,0.649816754373532,0.743610620498657,183,43,77,103,3,88.6674816625917,409,44.7432762836186,10.5134474327628,18.8264058679707,25.1833740831296,0.733496332518338
203,1810,Воздушные замки,Хмельницкий,0,Comedy,3,2,0,0.842382887314106,0.850422371050407,0.766502573660442,0.647231504321098,0.887449363867442,145,29,35,54,3,93.8045112781955,266,54.5112781954887,10.9022556390977,13.1578947368421,20.3007518796993,1.12781954887218
204,1810,Говорун,Хмельницкий,0,Comedy,3,9,0,0.842079259393629,0.821350736277444,0.784128685530863,0.618051654100418,0.545922815799713,121,14,38,40,1,100.214953271028,214,56.5420560747664,6.54205607476636,17.7570093457944,18.6915887850467,0.467289719626168
205,1810,Молодые супруги,Грибоедов,0,Comedy,2,1,0,0.847862151052271,0.813151563916888,0.735987058281899,0.649138512089849,0.814216867089272,196,21,50,48,6,81.202492211838,321,61.0591900311527,6.54205607476636,15.5763239875389,14.9532710280374,1.86915887850467
206,1810,"Не любо – не слушай, а лгать не мешай",Шаховской,0,Comedy,3,3,0,0.869508044199741,0.878332529749189,0.788405437785459,0.659627728648,0.831787064671516,282,21,83,77,4,74.2505353319058,467,60.3854389721627,4.49678800856531,17.7730192719486,16.4882226980728,0.856531049250535
224,1820,Взаимные испытания,Хмельницкий,0,Comedy,2,2,0,0.886386463031677,0.804993838899665,0.778889037841974,0.600845146179199,0.891796380281448,207,36,43,40,4,58.6454545454546,330,62.7272727272727,10.9090909090909,13.030303030303,12.1212121212121,1.21212121212121
239,1820,Наследница,Писарев,1,Comedy,3,1,1,0.85282903943743,0.799819336696105,0.758875837144644,0.645256240041025,0.867831607659658,175,22,46,62,3,92.2987012987013,308,56.8181818181818,7.14285714285714,14.9350649350649,20.1298701298701,0.974025974025974
243,1820,Светский случай,Хмельницкий,0,Comedy,4,2,0,0.863217462941366,0.839461970787782,0.786880081682875,0.640745338271646,,257,39,57,51,0,59.9257425742574,404,63.6138613861386,9.65346534653465,14.1089108910891,12.6237623762376,0
249,1830,Борис Годунов,Пушкин,0,NotStated,69,9,0,0.839503788778968,0.729118562170437,0.800437591969967,0.610142146165554,0.815267853438854,282,14,48,91,4,137.227790432802,439,64.2369020501139,3.18906605922551,10.9339407744875,20.7289293849658,0.911161731207289
250,1830,Каменный гость,Пушкин,0,NotStated,9,2,0,0.863543633551433,0.889750794360512,0.812820098563737,0.631422917048136,0.928295880556107,145,19,51,45,2,69.1374045801527,262,55.3435114503817,7.25190839694657,19.4656488549618,17.175572519084,0.763358778625954
251,1830,Моцарт и Сальери,Пушкин,0,NotStated,2,0,0,0.80583734313647,0.957182765007019,0.708341811384474,0.578827818234762,0.83600378036499,24,1,7,9,1,183.309523809524,42,57.1428571428571,2.38095238095238,16.6666666666667,21.4285714285714,2.38095238095238
252,1830,Пир во время чумы,Пушкин,0,NotStated,3,3,0,0.683708540030888,0.698442459106445,0.728421002626419,0.635708007216454,0.50728303194046,7,4,6,10,1,255.214285714286,28,25,14.2857142857143,21.4285714285714,35.7142857142857,3.57142857142857
258,1830,Русалка,Пушкин,0,NotStated,7,11,0,0.840348564386368,0.684289291501045,0.843234987362571,0.668370223045349,0.720791856447856,50,6,23,40,3,130.44262295082,122,40.9836065573771,4.91803278688525,18.8524590163934,32.7868852459016,2.45901639344262
259,1830,Скупой рыцарь,Пушкин,0,NotStated,5,0,0,0.829452822948324,,0.799380687150088,0.569409858612787,0.868764877319336,58,0,22,21,1,126.166666666667,102,56.8627450980392,0,21.5686274509804,20.5882352941176,0.980392156862745
260,1830,Странный человек,Лермонтов,0,NotStated,30,15,0,0.850613879806855,0.825972132060839,0.813483320897625,0.671752155601204,0.856681172053019,323,46,124,154,15,138.219033232628,662,48.7915407854985,6.94864048338369,18.7311178247734,23.2628398791541,2.26586102719033
261,1830,Сцены из рыцарских времен,Пушкин,0,NotStated,21,2,0,0.867836294830709,0.785656972364946,0.794659159886531,0.676713901487264,0.729878194630146,138,11,39,22,4,83.8831775700935,214,64.4859813084112,5.14018691588785,18.2242990654206,10.2803738317757,1.86915887850467
262,1830,Утро делового человека,Гоголь,0,NotStated,4,1,0,0.872106809232195,0.981708159049352,0.774140467246374,0.598500106069777,0.841277368366718,59,6,6,9,4,100.190476190476,84,70.2380952380952,7.14285714285714,7.14285714285714,10.7142857142857,4.76190476190476
263,1830,"Хороша и дурна, и глупа и умна",Ленский,0,Comedy,4,2,0,0.836262677246606,0.860823679602507,0.810022831350178,0.643634507501567,0.750837017189373,283,66,77,108,11,92,545,51.9266055045872,12.1100917431193,14.1284403669725,19.8165137614679,2.01834862385321
264,1840,Актер,Некрасов,0,Comedy,6,2,0,0.848654060757586,0.832178330782688,0.819569497307142,0.647943392892679,0.6101199015975,112,33,30,60,4,99.928870292887,239,46.8619246861925,13.8075313807531,12.5523012552301,25.1046025104603,1.67364016736402
265,1840,"Где тонко, там и рвётся",Тургенев,0,Comedy,6,4,0,0.892497138812756,0.883696463372972,0.778740318966847,0.637218090040343,0.937728367745876,312,54,51,56,8,95.3056133056133,481,64.8648648648649,11.2266112266112,10.6029106029106,11.6424116424116,1.66320166320166
268,1840,Завтрак у предводителя,Тургенев,0,NotStated,10,1,0,0.871562645072847,0.830388767023881,0.773785967499979,0.615140978027793,0.817709209287868,319,12,62,51,17,83.0802603036876,461,69.1973969631237,2.60303687635575,13.4490238611714,11.0629067245119,3.68763557483731
